,dataset,encoding,layer_type,alpha,eps,test_mean,test_ci,val_mean,val_ci,train_mean,train_ci,energy_mean,energy_ci,last_layer_fa,run_duration
0,enzymes,,MLP,0.1,0.001,22.266666666666666,0.014465284112123219,26.333333333333336,0.01550627113281734,29.033333333333328,0.020509618339804483,0.0,0.0,False,2844.6399326324463
0,mutag,,MLP,0.1,0.001,71.17021276595744,0.02985933523050076,75.74468085106383,0.027478951984617764,72.71276595744682,0.01656810300308605,0.0,0.0,False,755.0107619762421
0,mutag,,MLP,0.1,0.001,71.17021276595744,0.02985933523050076,75.74468085106383,0.027478951984617764,72.71276595744682,0.01656810300308605,0.0,0.0,False,755.0107619762421
1,enzymes,,MLP,0.1,0.001,22.066666666666666,0.021372880011828074,27.73333333333333,0.02136248008906165,28.116666666666664,0.01879287690116184,0.0,0.0,False,3032.0433468818665
0,mutag,,MLP,0.1,0.001,71.17021276595744,0.02985933523050076,75.74468085106383,0.027478951984617764,72.71276595744682,0.01656810300308605,0.0,0.0,False,755.0107619762421
1,enzymes,,MLP,0.1,0.001,22.066666666666666,0.021372880011828074,27.73333333333333,0.02136248008906165,28.116666666666664,0.01879287690116184,0.0,0.0,False,3032.0433468818665
2,proteins,,MLP,0.1,0.001,71.0394265232975,0.009705256657248054,73.1294964028777,0.007915303951464277,70.76438848920863,0.00576367996408806,0.0,0.0,False,3263.645895719528
0,mutag,,MLP,0.1,0.001,71.17021276595744,0.02985933523050076,75.74468085106383,0.027478951984617764,72.71276595744682,0.01656810300308605,0.0,0.0,False,755.0107619762421
1,enzymes,,MLP,0.1,0.001,22.066666666666666,0.021372880011828074,27.73333333333333,0.02136248008906165,28.116666666666664,0.01879287690116184,0.0,0.0,False,3032.0433468818665
2,proteins,,MLP,0.1,0.001,71.0394265232975,0.009705256657248054,73.1294964028777,0.007915303951464277,70.76438848920863,0.00576367996408806,0.0,0.0,False,3263.645895719528
3,imdb,,MLP,0.1,0.001,48.26,0.009769749229125584,50.839999999999996,0.01045982791445443,50.45,0.006104916051838883,0.0,0.0,False,2322.670031785965
0,collab,,MLP,0.1,0.001,51.800000000000004,0.005567333293417952,52.748000000000005,0.005371658961624432,51.726000000000006,0.002692968622171449,0.0,0.0,False,14196.215953588486
0,collab,,MLP,0.1,0.001,51.800000000000004,0.005567333293417952,52.748000000000005,0.005371658961624432,51.726000000000006,0.002692968622171449,0.0,0.0,False,14196.215953588486
1,reddit,,MLP,0.1,0.001,49.08,0.009232117850201007,51.21,0.011988244241756174,49.855,0.004432775654147189,0.0,0.0,False,5175.949146270752
0,enzymes,,MLP,,0.1,0.001,29.06666666666667,0.04243269179928764,30.0,0.02099735433069816,32.199999999999996,0.017948073248494758,0.0,0.0,False,52.627607583999634
0,proteins,,MLP,,0.1,0.001,68.31541218637993,0.037528781622013244,69.06474820143885,0.05348958358400317,69.35251798561151,0.04001190237491653,0.0,0.0,False,48.221158504486084
0,mutag,,MLP,,0.1,0.001,71.48936170212765,0.03529607038864294,64.68085106382979,0.05593762289414463,64.8936170212766,0.027577619993224927,0.0,0.0,False,11.601501703262329
0,imdb,,MLP,,0.1,0.001,49.12,0.014733906474523327,50.96000000000001,0.022124014102327814,49.96000000000001,0.014417766817368087,0.0,0.0,False,25.600683212280273
0,collab,,MLP,,0.1,0.001,51.632,0.00685726476082115,51.583999999999996,0.009614921736550945,52.392,0.007594187250785979,0.0,0.0,False,208.1234655380249
0,reddit,,MLP,,0.1,0.001,49.559999999999995,0.010816284019939575,48.559999999999995,0.022779640032274437,50.940000000000005,0.008682856672777694,0.0,0.0,False,310.5291430950165
