,dataset,encoding,layer_type,layer_types,alpha,eps,test_mean,test_ci,val_mean,val_ci,train_mean,train_ci,energy_mean,energy_ci,last_layer_fa,run_duration
0,mutag,LCP,MoE_E,"('GCN', 'GCN')",0.1,0.001,84.25531914893615,0.03620774023180024,87.87234042553193,0.02410930293483455,86.59574468085106,0.0170743852321182,0.0,0.0,False,1656.129304409027
0,mutag,LCP,MoE_E,"('GCN', 'GCN')",0.1,0.001,84.25531914893615,0.03620774023180024,87.87234042553193,0.02410930293483455,86.59574468085106,0.0170743852321182,0.0,0.0,False,1656.129304409027
1,enzymes,LCP,MoE_E,"('GCN', 'GCN')",0.1,0.001,32.800000000000004,0.03243043837713781,39.6,0.03879060596473212,52.233333333333334,0.09845495303831989,0.0,0.0,False,8413.774344205856
0,mutag,LCP,MoE_E,"('GCN', 'GCN')",0.1,0.001,84.25531914893615,0.03620774023180024,87.87234042553193,0.02410930293483455,86.59574468085106,0.0170743852321182,0.0,0.0,False,1656.129304409027
1,enzymes,LCP,MoE_E,"('GCN', 'GCN')",0.1,0.001,32.800000000000004,0.03243043837713781,39.6,0.03879060596473212,52.233333333333334,0.09845495303831989,0.0,0.0,False,8413.774344205856
2,proteins,LCP,MoE_E,"('GCN', 'GCN')",0.1,0.001,72.04301075268816,0.013937076770769588,75.86330935251799,0.00670648701376773,76.13309352517986,0.016413681283765285,0.0,0.0,False,10575.857478618622
0,mutag,LCP,MoE_E,"('GCN', 'GCN')",0.1,0.001,84.25531914893615,0.03620774023180024,87.87234042553193,0.02410930293483455,86.59574468085106,0.0170743852321182,0.0,0.0,False,1656.129304409027
1,enzymes,LCP,MoE_E,"('GCN', 'GCN')",0.1,0.001,32.800000000000004,0.03243043837713781,39.6,0.03879060596473212,52.233333333333334,0.09845495303831989,0.0,0.0,False,8413.774344205856
2,proteins,LCP,MoE_E,"('GCN', 'GCN')",0.1,0.001,72.04301075268816,0.013937076770769588,75.86330935251799,0.00670648701376773,76.13309352517986,0.016413681283765285,0.0,0.0,False,10575.857478618622
3,imdb,LCP,MoE_E,"('GCN', 'GCN')",0.1,0.001,63.32,0.023787055303252657,68.36,0.02308800554400487,65.5,0.02680447723795412,0.0,0.0,False,11414.015514612198
