,dataset,encoding,layer_type,layer_types,alpha,eps,test_mean,test_ci,val_mean,val_ci,train_mean,train_ci,energy_mean,energy_ci,last_layer_fa,run_duration
0,mutag,LDP,MoE_E,"('GCN', 'GCN')",0.1,0.001,70.2127659574468,0.0,74.46808510638297,0.0,60.63829787234043,0.0,0.0,0.0,False,12.435450077056885
0,mutag,LDP,MoE_E,"('GCN', 'GCN')",0.1,0.001,68.08510638297872,0.0,61.702127659574465,0.0,68.08510638297872,0.0,0.0,0.0,False,12.455347061157227
0,mutag,LDP,MoE_E,"('GCN', 'GCN')",0.1,0.001,71.70212765957447,0.03948514284140271,78.08510638297874,0.026946621615297973,77.4468085106383,0.04887137245588716,0.0,0.0,False,1518.6586854457855
0,mutag,LDP,MoE_E,"('GCN', 'GCN')",0.1,0.001,71.70212765957447,0.03948514284140271,78.08510638297874,0.026946621615297973,77.4468085106383,0.04887137245588716,0.0,0.0,False,1518.6586854457855
1,enzymes,LDP,MoE_E,"('GCN', 'GCN')",0.1,0.001,33.06666666666666,0.03426433195678042,38.53333333333334,0.024930124570709852,44.766666666666666,0.04264634932923464,0.0,0.0,False,9947.945616006851
0,mutag,LDP,MoE_E,"('GCN', 'GCN')",0.1,0.001,71.70212765957447,0.03948514284140271,78.08510638297874,0.026946621615297973,77.4468085106383,0.04887137245588716,0.0,0.0,False,1518.6586854457855
1,enzymes,LDP,MoE_E,"('GCN', 'GCN')",0.1,0.001,33.06666666666666,0.03426433195678042,38.53333333333334,0.024930124570709852,44.766666666666666,0.04264634932923464,0.0,0.0,False,9947.945616006851
2,proteins,LDP,MoE_E,"('GCN', 'GCN')",0.1,0.001,72.00716845878136,0.015720023137772845,73.66906474820144,0.006418621013869197,72.23021582733814,0.01522904506090948,0.0,0.0,False,8667.256041526794
0,mutag,LDP,MoE_E,"('GCN', 'GCN')",0.1,0.001,71.70212765957447,0.03948514284140271,78.08510638297874,0.026946621615297973,77.4468085106383,0.04887137245588716,0.0,0.0,False,1518.6586854457855
1,enzymes,LDP,MoE_E,"('GCN', 'GCN')",0.1,0.001,33.06666666666666,0.03426433195678042,38.53333333333334,0.024930124570709852,44.766666666666666,0.04264634932923464,0.0,0.0,False,9947.945616006851
2,proteins,LDP,MoE_E,"('GCN', 'GCN')",0.1,0.001,72.00716845878136,0.015720023137772845,73.66906474820144,0.006418621013869197,72.23021582733814,0.01522904506090948,0.0,0.0,False,8667.256041526794
3,imdb,LDP,MoE_E,"('GCN', 'GCN')",0.1,0.001,69.96,0.01911481101135974,71.92,0.02201962760811363,70.56,0.021487112416516085,0.0,0.0,False,10946.269013881683
